Percentage of ED visits by syndrome: COVID-19-Like Illness Shortness of Breath and Pneumonia
Date generated: Wed Jul 22 2020 02:09:19 GMT-0400 (Eastern Daylight Time)

Geography,Date,Syndrome,Percent
Illinois,2020-06-02,CLI,3.7
Illinois,2020-06-03,CLI,3.5
Illinois,2020-06-04,CLI,2.7
Illinois,2020-06-05,CLI,3
Illinois,2020-06-06,CLI,2.8
Illinois,2020-06-07,CLI,2.8
Illinois,2020-06-08,CLI,2.6
Illinois,2020-06-09,CLI,2.4
Illinois,2020-06-10,CLI,2.4
Illinois,2020-06-11,CLI,2.4
Illinois,2020-06-12,CLI,2.4
Illinois,2020-06-13,CLI,1.6
Illinois,2020-06-14,CLI,2
Illinois,2020-06-15,CLI,2
Illinois,2020-06-16,CLI,2
Illinois,2020-06-17,CLI,2.3
Illinois,2020-06-18,CLI,1.8
Illinois,2020-06-19,CLI,2.1
Illinois,2020-06-20,CLI,1.9
Illinois,2020-06-21,CLI,1.7
Illinois,2020-06-22,CLI,2
Illinois,2020-06-23,CLI,1.9
Illinois,2020-06-24,CLI,2
Illinois,2020-06-25,CLI,2.5
Illinois,2020-06-26,CLI,1.8
Illinois,2020-06-27,CLI,2.1
Illinois,2020-06-28,CLI,2
Illinois,2020-06-29,CLI,2.2
Illinois,2020-06-30,CLI,2.4
Illinois,2020-07-01,CLI,2
Illinois,2020-07-02,CLI,1.9
Illinois,2020-07-03,CLI,2.1
Illinois,2020-07-04,CLI,1.9
Illinois,2020-07-05,CLI,2
Illinois,2020-07-06,CLI,2.3
Illinois,2020-07-07,CLI,2.2
Illinois,2020-07-08,CLI,2.2
Illinois,2020-07-09,CLI,2.4
Illinois,2020-07-10,CLI,2.1
Illinois,2020-07-11,CLI,2.1
Illinois,2020-07-12,CLI,2.2
Illinois,2020-07-13,CLI,2.1
Illinois,2020-07-14,CLI,2.1
Illinois,2020-07-15,CLI,2.4
Illinois,2020-07-16,CLI,2.3
Illinois,2020-07-17,CLI,2.2
Illinois,2020-07-18,CLI,1.8
Kansas,2020-05-23,CLI,2.1
Kansas,2020-05-24,CLI,2.4
Kansas,2020-05-25,CLI,2.1
Kansas,2020-05-26,CLI,1.4
Kansas,2020-05-27,CLI,1.8
Kansas,2020-05-28,CLI,1.5
Kansas,2020-05-29,CLI,2.1
Kansas,2020-05-30,CLI,1.3
Kansas,2020-05-31,CLI,1.2
Kansas,2020-06-01,CLI,1.5
Kansas,2020-06-02,CLI,1.7
Kansas,2020-06-03,CLI,1.6
Kansas,2020-06-04,CLI,1.7
Kansas,2020-06-05,CLI,1.7
Kansas,2020-06-06,CLI,1.6
Kansas,2020-06-07,CLI,1.5
Kansas,2020-06-08,CLI,1.4
Kansas,2020-06-09,CLI,2.3
Kansas,2020-06-10,CLI,1.7
Kansas,2020-06-11,CLI,1.9
Kansas,2020-06-12,CLI,1.4
Kansas,2020-06-13,CLI,1.6
Kansas,2020-06-14,CLI,1.7
Kansas,2020-06-15,CLI,1.7
Kansas,2020-06-16,CLI,2.1
Kansas,2020-06-17,CLI,1.6
Kansas,2020-06-18,CLI,2.2
Kansas,2020-06-19,CLI,1.9
Kansas,2020-06-20,CLI,1.8
Kansas,2020-06-21,CLI,2.2
Kansas,2020-06-22,CLI,2.4
Kansas,2020-06-23,CLI,2.7
Kansas,2020-06-24,CLI,2.4
Kansas,2020-06-25,CLI,2.5
Kansas,2020-06-26,CLI,2.9
Kansas,2020-06-27,CLI,3.3
Kansas,2020-06-28,CLI,2.6
Kansas,2020-06-29,CLI,2.9
Kansas,2020-06-30,CLI,2.7
Kansas,2020-07-01,CLI,3
Kansas,2020-07-02,CLI,3.1
Kansas,2020-07-03,CLI,2.8
Kansas,2020-07-04,CLI,3.2
Kansas,2020-07-05,CLI,3.1
Kansas,2020-07-06,CLI,3.4
Kansas,2020-07-07,CLI,3.1
